City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Tahta,EG,86.86,clear sky,26.7693,31.5021,فندق الزيات
8,Bathsheba,BB,86.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
37,Ciudad Bolivar,VE,85.69,overcast clouds,8.1222,-63.5497,Hotel Edi
104,Bethel,US,87.19,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
114,Victoria,HK,86.38,overcast clouds,22.2855,114.1577,Mini Central
144,Laramie,US,85.08,broken clouds,41.3114,-105.5911,Fairfield Inn & Suites by Marriott Laramie
214,Acapulco,MX,86.81,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
257,San Lorenzo,PY,86.81,light rain,-25.3333,-57.5333,Canarias Hotel
322,Kahului,US,85.96,few clouds,20.8947,-156.47,Maui Seaside Hotel
330,Dalbandin,PK,87.44,overcast clouds,28.8947,64.4101,Sanjrani House
353,Syosset,US,85.39,scattered clouds,40.8262,-73.5021,The Inn at Fox Hollow
368,Wad Rawah,SD,86.9,few clouds,15.1603,33.1397,حوش جلي ودراوة
419,Dakar,SN,85.08,broken clouds,14.6937,-17.4441,Novotel Dakar
429,San Jose,US,87.53,clear sky,37.3394,-121.895,The Westin San Jose
455,Westport,US,86.61,clear sky,41.1415,-73.3579,The Westport Inn
464,Tambopata,PE,87.69,few clouds,-12.7333,-69.1833,Enashawa Lodge
482,Shenzhen,CN,86.27,overcast clouds,22.5455,114.0683,Grand Skylight
492,Pauini,BR,85.68,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
505,Kovur,IN,86.2,scattered clouds,14.4833,79.9833,Hotel Yesh Park
508,West Bay,KY,86.07,broken clouds,19.3667,-81.4167,Calypso Cove
538,Porto Velho,BR,87.85,scattered clouds,-8.7619,-63.9039,Ecos Hotel Conforto
546,Nassau,US,86.67,clear sky,40.7507,-73.5829,Hilton Garden Inn Westbury
555,Barmer,IN,85.46,light rain,25.75,71.3833,Jain Dharamshala
579,Hurghada,EG,87.04,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
662,Coahuayana,MX,87.1,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
