City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tiksi,RU,71.6872,128.8694,39.54,90,99,7.58,overcast clouds
1,Qaanaaq,GL,77.484,-69.3632,49.44,65,90,8.77,overcast clouds
2,Prince Rupert,CA,54.3161,-130.3201,55.49,96,100,11.5,light rain
3,Tahta,EG,26.7693,31.5021,86.86,25,0,10.67,clear sky
4,Olafsvik,IS,64.8945,-23.7142,51.57,84,100,14.76,overcast clouds
5,Rikitea,PF,-23.1203,-134.9692,68.11,77,100,7.74,light rain
6,Mar Del Plata,AR,-38.0023,-57.5575,52.09,95,100,8.01,light intensity drizzle
7,Punta Arenas,CL,-53.15,-70.9167,33.82,93,20,10.36,few clouds
8,Bathsheba,BB,13.2167,-59.5167,86.61,86,75,19.57,broken clouds
9,Cape Town,ZA,-33.9258,18.4232,62.38,82,0,3.0,clear sky
10,Saldanha,ZA,-33.0117,17.9442,55.45,79,100,8.43,overcast clouds
11,Mataura,NZ,-46.1927,168.8643,35.47,97,94,3.71,overcast clouds
12,Arlit,NE,18.7369,7.3853,97.56,10,6,11.25,clear sky
13,San Cristobal,VE,7.7669,-72.225,75.38,60,35,5.53,scattered clouds
14,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,78,21,18.5,few clouds
15,Castro,BR,-24.7911,-50.0119,67.32,61,98,7.16,overcast clouds
16,Sangar,RU,63.9242,127.4739,64.47,91,99,2.39,overcast clouds
17,Upernavik,GL,72.7868,-56.1549,48.58,61,0,6.98,clear sky
18,Bredasdorp,ZA,-34.5322,20.0403,51.84,95,100,3.6,overcast clouds
19,Hilo,US,19.7297,-155.09,84.25,72,33,1.01,scattered clouds
20,Norman Wells,CA,65.282,-126.8329,55.44,67,75,6.91,broken clouds
21,Sao Filipe,CV,14.8961,-24.4956,75.06,78,100,5.66,overcast clouds
22,Nanortalik,GL,60.1432,-45.2371,43.38,87,33,8.93,scattered clouds
23,Formosa,AR,-26.1775,-58.1781,84.18,58,100,8.05,overcast clouds
24,Turbat,PK,26.0023,63.044,88.11,66,100,2.24,overcast clouds
25,Jamestown,US,42.097,-79.2353,80.53,41,75,11.5,broken clouds
26,Kapaa,US,22.0752,-159.319,79.12,77,65,8.01,broken clouds
27,Yellowknife,CA,62.456,-114.3525,57.72,72,100,3.44,overcast clouds
28,Hovd,MN,48.0056,91.6419,58.32,40,3,3.44,clear sky
