City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Butaritari,KI,2022-07-13 17:17:16,3.0707,172.7902,82.36,78,88,18.86
1,Bredasdorp,ZA,2022-07-13 17:17:16,-34.5322,20.0403,58.42,64,43,18.72
2,Kavaratti,IN,2022-07-13 17:17:17,10.5669,72.642,81.36,83,99,19.15
3,Vaini,TO,2022-07-13 17:17:17,-21.2,-175.2,75.36,94,75,12.66
4,Ushuaia,AR,2022-07-13 17:17:17,-54.8,-68.3,38.82,75,75,10.36
5,Albany,US,2022-07-13 17:12:48,42.6001,-73.9662,84.16,47,21,1.01
6,Mataura,NZ,2022-07-13 17:17:18,-46.1927,168.8643,42.48,97,100,5.14
7,Kapaa,US,2022-07-13 17:17:18,22.0752,-159.319,79.12,82,100,14.97
8,Tukrah,LY,2022-07-13 17:17:18,32.5341,20.5791,78.94,65,0,16.89
9,Bambous Virieux,MU,2022-07-13 17:17:19,-20.3428,57.7575,70.05,68,40,11.5
10,Hobart,AU,2022-07-13 17:17:19,-42.8794,147.3294,37.27,94,18,8.05
11,Provideniya,RU,2022-07-13 17:14:46,64.3833,-173.3,51.24,81,99,6.58
12,Sovetskiy,RU,2022-07-13 17:17:20,61.3614,63.5842,71.31,69,55,4.09
13,Punta Arenas,CL,2022-07-13 17:17:20,-53.15,-70.9167,39.31,75,75,20.71
14,Masuguru,TZ,2022-07-13 17:17:20,-11.3667,38.4167,79.77,33,60,4.9
15,Cherskiy,RU,2022-07-13 17:17:14,68.75,161.3,41.74,70,26,11.63
16,Chuy,UY,2022-07-13 17:17:21,-33.6971,-53.4616,52.56,60,2,8.5
17,Airai,TL,2022-07-13 17:17:21,-8.9266,125.4092,53.13,88,76,2.82
18,Port Alfred,ZA,2022-07-13 17:17:21,-33.5906,26.891,55.18,90,5,1.99
19,Bathsheba,BB,2022-07-13 17:17:22,13.2167,-59.5167,85.05,72,75,16.11
20,Bengkulu,ID,2022-07-13 17:17:21,-3.8004,102.2655,76.71,91,95,4.05
21,College,US,2022-07-13 17:12:34,64.8569,-147.8028,57.58,90,75,8.05
22,Hilo,US,2022-07-13 17:12:25,19.7297,-155.09,77.29,97,100,8.99
23,Ostersund,SE,2022-07-13 17:17:23,63.1792,14.6357,54.05,100,75,18.99
24,Kruisfontein,ZA,2022-07-13 17:17:23,-34.0033,24.7314,51.89,82,4,6.76
25,Puerto Ayora,EC,2022-07-13 17:17:23,-0.7393,-90.3518,76.96,82,35,8.01
26,Bilma,NE,2022-07-13 17:17:24,18.6853,12.9164,103.14,10,16,11.21
27,Rikitea,PF,2022-07-13 17:17:24,-23.1203,-134.9692,71.28,83,59,3.33
28,Ponta Do Sol,PT,2022-07-13 17:17:24,32.6667,-17.1,74.12,66,3,6.35
29,Trelew,AR,2022-07-13 17:17:25,-43.249,-65.3051,48.58,30,0,4.14
30,Norman Wells,CA,2022-07-13 17:17:25,65.282,-126.8329,51.84,100,100,13.8
31,Staryy Nadym,RU,2022-07-13 17:17:25,65.6118,72.6842,60.67,45,100,10.76
32,Deputatskiy,RU,2022-07-13 17:17:26,69.3,139.9,41.99,86,74,3.8
33,Keshorai Patan,IN,2022-07-13 17:17:26,25.3,75.9333,91.65,56,91,3.71
34,Ozuluama,MX,2022-07-13 17:17:27,21.6667,-97.85,88.2,61,74,6.58
35,Cabra,ES,2022-07-13 17:17:27,37.4725,-4.4421,99.12,14,4,16.24
36,Atuona,PF,2022-07-13 17:17:27,-9.8,-139.0333,78.24,71,54,20.24
37,Kahului,US,2022-07-13 17:16:04,20.8947,-156.47,76.84,91,100,16.11
38,Thompson,CA,2022-07-13 17:14:32,55.7435,-97.8558,79.27,28,11,6.87
39,Constitucion,CL,2022-07-13 17:17:28,-35.3333,-72.4167,54.36,90,100,15.14
40,Riyadh,SA,2022-07-13 17:15:10,24.6877,46.7219,100.54,8,89,9.4
41,Pacific Grove,US,2022-07-13 17:17:28,36.6177,-121.9166,65.55,82,75,5.01
42,Jimma,ET,2022-07-13 17:17:28,7.6667,36.8333,60.39,96,70,2.3
43,Narsaq,GL,2022-07-13 17:17:29,60.9167,-46.05,57.42,63,94,6.04
44,Meulaboh,ID,2022-07-13 17:18:29,4.1363,96.1285,78.51,89,97,7.81
45,Picota,PE,2022-07-13 17:18:29,-6.9197,-76.3304,88.29,59,79,0.34
46,Avarua,CK,2022-07-13 17:18:30,-21.2078,-159.775,71.65,68,75,6.91
47,Hofn,IS,2022-07-13 17:18:30,64.2539,-15.2082,53.62,71,20,12.66
48,Bluff,NZ,2022-07-13 17:18:30,-46.6,168.3333,42.8,78,100,14.23
49,Ukiah,US,2022-07-13 17:18:31,39.1502,-123.2078,82.36,68,0,6.91
50,Hermanus,ZA,2022-07-13 17:17:15,-34.4187,19.2345,61.81,78,81,21.45
51,Karratha,AU,2022-07-13 17:14:57,-20.7377,116.8463,65.43,64,42,7.92
52,Havre-Saint-Pierre,CA,2022-07-13 17:18:31,50.2334,-63.5986,62.96,72,100,13.8
53,Cabo San Lucas,MX,2022-07-13 17:18:27,22.8909,-109.9124,96.1,64,0,4.61
54,Goderich,CA,2022-07-13 17:14:29,43.7501,-81.7165,64.9,85,100,7.72
55,Kaitangata,NZ,2022-07-13 17:18:32,-46.2817,169.8464,43.54,93,100,11.18
56,Chokurdakh,RU,2022-07-13 17:18:32,70.6333,147.9167,37.96,91,100,11.61
57,Tura,IN,2022-07-13 17:18:32,25.5198,90.2201,77.81,87,10,3.24
58,Maceio,BR,2022-07-13 17:16:12,-9.6658,-35.7353,80.04,69,75,11.5
59,Souillac,MU,2022-07-13 17:18:33,-20.5167,57.5167,70.18,68,40,11.5
60,Wattegama,LK,2022-07-13 17:18:33,6.7989,81.4808,78.04,65,84,11.25
61,Castro,BR,2022-07-13 17:18:33,-24.7911,-50.0119,58.8,86,100,8.9
62,Yellowknife,CA,2022-07-13 17:14:49,62.456,-114.3525,63.9,46,100,7.27
63,Saint-Philippe,RE,2022-07-13 17:18:34,-21.3585,55.7679,69.39,80,55,11.48
64,Ribeira Grande,PT,2022-07-13 17:17:26,38.5167,-28.7,79.2,65,40,14.97
65,Severo-Kurilsk,RU,2022-07-13 17:18:34,50.6789,156.125,53.2,97,96,0.65
66,Northam,GB,2022-07-13 17:18:34,51.0333,-4.2167,69.39,71,99,13.82
67,Ancud,CL,2022-07-13 17:18:35,-41.8697,-73.8203,41.23,79,98,9.84
68,Quatre Cocos,MU,2022-07-13 17:18:35,-20.2078,57.7625,69.91,74,77,17.67
69,Barrow,US,2022-07-13 17:18:35,71.2906,-156.7887,39.22,70,100,10.36
70,Udachnyy,RU,2022-07-13 17:18:36,66.4167,112.4,50.45,87,100,6.42
71,Marsa Matruh,EG,2022-07-13 17:18:36,31.3525,27.2453,78.84,63,0,13.94
72,Broome,US,2022-07-13 17:18:36,42.2506,-75.833,81.18,59,75,4.61
73,Cape Town,ZA,2022-07-13 17:13:46,-33.9258,18.4232,56.88,90,90,8.99
74,Emerald,AU,2022-07-13 17:18:37,-23.5333,148.1667,45.48,65,0,8.55
75,Artyom,AZ,2022-07-13 17:18:37,40.4723,50.333,82.54,53,0,1.14
76,Melfi,IT,2022-07-13 17:18:37,40.9965,15.6514,70.5,25,0,12.75
77,Alzamay,RU,2022-07-13 17:18:38,55.5562,98.6644,54.09,96,100,8.68
78,Lalmohan,BD,2022-07-13 17:18:38,22.3384,90.7419,83.8,83,24,20.42
79,Nouadhibou,MR,2022-07-13 17:18:38,20.931,-17.0347,73.38,73,13,26.46
80,Tiksi,RU,2022-07-13 17:16:00,71.6872,128.8694,34.52,97,100,5.14
81,Victoria,HK,2022-07-13 17:17:36,22.2855,114.1577,88.18,80,0,4.0
82,Gizo,SB,2022-07-13 17:18:39,-8.103,156.8419,81.23,77,40,5.77
83,Jamestown,US,2022-07-13 17:14:37,42.097,-79.2353,79.05,53,40,12.66
84,Cayenne,GF,2022-07-13 17:18:39,4.9333,-52.3333,84.24,74,75,8.05
85,Sindor,RU,2022-07-13 17:18:40,62.8629,51.8905,67.75,88,77,6.76
86,Neuquen,AR,2022-07-13 17:18:40,-38.9516,-68.0591,39.09,87,100,0.0
87,Chekhov,RU,2022-07-13 17:18:40,55.1431,37.4711,71.55,66,81,4.12
88,Koumac,NC,2022-07-13 17:18:41,-20.5667,164.2833,73.38,77,100,12.97
89,Pinotepa Nacional,MX,2022-07-13 17:18:41,16.3167,-98.0167,86.7,60,100,3.96
90,Mar Del Plata,AR,2022-07-13 17:18:25,-38.0023,-57.5575,57.94,60,0,14.97
91,San Patricio,US,2022-07-13 17:16:07,28.017,-97.5169,96.08,41,6,8.55
92,Busselton,AU,2022-07-13 17:19:41,-33.65,115.3333,57.11,76,2,8.12
93,Maine-Soroa,NE,2022-07-13 17:19:42,13.2114,12.0241,99.32,25,24,11.14
94,Tommot,RU,2022-07-13 17:19:42,58.9564,126.2925,61.59,93,100,2.26
95,Viedma,AR,2022-07-13 17:16:14,-40.8135,-62.9967,52.25,30,84,4.92
96,Iqaluit,CA,2022-07-13 17:19:42,63.7506,-68.5145,44.33,81,75,11.5
97,Skovorodino,RU,2022-07-13 17:19:43,53.9833,123.9167,60.4,98,100,4.07
98,Bilibino,RU,2022-07-13 17:19:43,68.0546,166.4372,52.39,71,27,4.21
99,Saint George,US,2022-07-13 17:18:06,37.1041,-113.5841,98.26,24,0,8.05
100,Xuddur,SO,2022-07-13 17:19:43,4.1213,43.8894,80.51,52,16,21.68
101,Rio Grande,BR,2022-07-13 17:19:44,-32.035,-52.0986,59.11,63,1,10.63
102,Kalashnikovo,RU,2022-07-13 17:19:44,57.2824,35.2262,64.69,67,79,5.26
103,Kristiinankaupunki,FI,2022-07-13 17:19:44,62.2743,21.376,68.43,66,92,5.41
104,Placido De Castro,BR,2022-07-13 17:19:45,-10.3353,-67.1856,92.88,41,25,3.18
105,Timizart,DZ,2022-07-13 17:19:45,36.8,4.2667,85.96,37,0,10.29
106,New Norfolk,AU,2022-07-13 17:19:45,-42.7826,147.0587,36.91,86,16,2.8
107,Qaanaaq,GL,2022-07-13 17:19:46,77.484,-69.3632,39.31,94,100,4.09
108,Fairbanks,US,2022-07-13 17:19:46,64.8378,-147.7164,57.6,89,75,8.05
109,Aklavik,CA,2022-07-13 17:19:46,68.2191,-135.0107,48.2,93,100,11.5
110,Sinnamary,GF,2022-07-13 17:19:47,5.3833,-52.95,75.49,93,99,7.23
111,Carnarvon,AU,2022-07-13 17:17:21,-24.8667,113.6333,68.83,75,1,6.49
112,Upernavik,GL,2022-07-13 17:19:47,72.7868,-56.1549,41.76,85,33,9.53
113,Alice Town,BS,2022-07-13 17:19:47,25.7167,-79.3,85.35,69,49,9.75
114,Sangar,RU,2022-07-13 17:19:34,63.9242,127.4739,60.19,93,82,5.37
115,Longyearbyen,SJ,2022-07-13 17:19:48,78.2186,15.6401,49.84,87,75,3.44
116,Nikolskoye,RU,2022-07-13 17:16:01,59.7035,30.7861,75.09,52,4,4.54
117,Hithadhoo,MV,2022-07-13 17:16:02,-0.6,73.0833,83.88,71,95,14.76
118,Naze,JP,2022-07-13 17:19:48,28.3667,129.4833,77.92,87,100,7.72
119,Mahebourg,MU,2022-07-13 17:19:49,-20.4081,57.7,70.09,68,40,11.5
120,Tateyama,JP,2022-07-13 17:19:49,34.9833,139.8667,74.1,92,100,10.47
121,Entre Rios,BR,2022-07-13 17:19:49,-11.9419,-38.0844,76.66,69,53,8.57
122,Breyten,ZA,2022-07-13 17:19:50,-26.3018,29.987,49.33,41,5,5.14
